Generation,Heuristic (FCFS),Heuristic (EDD),SSO,HFGA-TS
1,124888.99421523347,121607.4466483899,183652.6471195189,185246.29841502334
2,124888.99421523347,121607.4466483899,178676.93089597602,177784.3744765834
3,124888.99421523347,121607.4466483899,178041.8057209434,174359.15427109506
4,124888.99421523347,121607.4466483899,171595.69262390662,174359.15427109506
5,124888.99421523347,121607.4466483899,171595.69262390662,169784.92608731866
6,124888.99421523347,121607.4466483899,169785.63079668494,169784.92608731866
7,124888.99421523347,121607.4466483899,168784.88685258347,169784.92608731866
8,124888.99421523347,121607.4466483899,165467.060127088,169784.92608731866
9,124888.99421523347,121607.4466483899,164977.05429211276,166355.11303653577
10,124888.99421523347,121607.4466483899,164304.8673639786,166355.11303653577
11,124888.99421523347,121607.4466483899,164196.53578458342,166355.11303653577
12,124888.99421523347,121607.4466483899,163188.79496033586,166300.96062399488
13,124888.99421523347,121607.4466483899,163188.79496033586,166300.96062399488
14,124888.99421523347,121607.4466483899,163188.79496033586,166300.96062399488
15,124888.99421523347,121607.4466483899,162368.5178678371,166300.96062399488
16,124888.99421523347,121607.4466483899,161503.48002695726,166300.96062399488
17,124888.99421523347,121607.4466483899,160874.37177326044,166300.96062399488
18,124888.99421523347,121607.4466483899,160874.37177326044,166252.37227049156
19,124888.99421523347,121607.4466483899,160640.92342634944,166252.37227049156
20,124888.99421523347,121607.4466483899,158060.21677614117,166252.37227049156
21,124888.99421523347,121607.4466483899,158060.21677614117,165121.9840835389
22,124888.99421523347,121607.4466483899,158060.21677614117,164942.76115428362
23,124888.99421523347,121607.4466483899,158060.21677614117,164942.76115428362
24,124888.99421523347,121607.4466483899,158060.21677614117,164942.76115428362
25,124888.99421523347,121607.4466483899,157215.776248897,164942.76115428362
26,124888.99421523347,121607.4466483899,157215.776248897,164942.76115428362
27,124888.99421523347,121607.4466483899,157215.776248897,164942.76115428362
28,124888.99421523347,121607.4466483899,157215.776248897,164942.76115428362
29,124888.99421523347,121607.4466483899,157215.776248897,164942.76115428362
30,124888.99421523347,121607.4466483899,157215.776248897,164567.62705834792
31,124888.99421523347,121607.4466483899,157044.79821798694,164567.62705834792
32,124888.99421523347,121607.4466483899,157044.79821798694,164567.62705834792
33,124888.99421523347,121607.4466483899,157044.79821798694,162430.01731174559
34,124888.99421523347,121607.4466483899,156487.05782874153,162430.01731174559
35,124888.99421523347,121607.4466483899,155764.2995524131,161738.84219676373
36,124888.99421523347,121607.4466483899,155764.2995524131,161738.84219676373
37,124888.99421523347,121607.4466483899,155764.2995524131,161738.84219676373
38,124888.99421523347,121607.4466483899,155764.2995524131,161738.84219676373
39,124888.99421523347,121607.4466483899,155764.2995524131,161738.84219676373
40,124888.99421523347,121607.4466483899,155764.2995524131,161738.84219676373
41,124888.99421523347,121607.4466483899,155764.2995524131,161738.84219676373
42,124888.99421523347,121607.4466483899,155764.2995524131,161738.84219676373
43,124888.99421523347,121607.4466483899,155764.2995524131,161738.84219676373
44,124888.99421523347,121607.4466483899,155764.2995524131,161738.84219676373
45,124888.99421523347,121607.4466483899,155764.2995524131,161738.84219676373
46,124888.99421523347,121607.4466483899,155764.2995524131,160789.2225859567
47,124888.99421523347,121607.4466483899,155632.31747000795,160789.2225859567
48,124888.99421523347,121607.4466483899,153581.69622773898,160273.3109777039
49,124888.99421523347,121607.4466483899,153581.69622773898,160273.3109777039
50,124888.99421523347,121607.4466483899,153581.69622773898,160273.3109777039
