Generation,Heuristic (FCFS),Heuristic (EDD),Heuristic (SPT),Heuristic (LPT),Standard GA,GA-Tabu,FLC-GA,SSO,HFGA-TS
1,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,183356.89189040053,183356.89189040053,183803.11573426067,181502.48023311028,183803.11573426067
2,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,183356.89189040053,183356.89189040053,181228.5561495999,178834.3478559314,181228.5561495999
3,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,179545.6170678628,179545.6170678628,181228.5561495999,177416.24582452743,181228.5561495999
4,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,178855.12343071526,178855.12343071526,179792.55526570632,177416.24582452743,179792.55526570632
5,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,175534.9558317781,175534.9558317781,179792.55526570632,177416.24582452743,179792.55526570632
6,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,173163.94379789883,173163.94379789883,176158.15813829086,175879.08315601214,176158.15813829086
7,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,173163.94379789883,173163.94379789883,171988.76888253493,170642.88773727053,171988.76888253493
8,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,173163.94379789883,173163.94379789883,169793.06147025034,169028.45563457688,169793.06147025034
9,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,173163.94379789883,173163.94379789883,169793.06147025034,169028.45563457688,169793.06147025034
10,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,172614.54232038863,172614.54232038863,169793.06147025034,165357.09007419518,169793.06147025034
11,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,172614.54232038863,172614.54232038863,169793.06147025034,165357.09007419518,169793.06147025034
12,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,171760.70788658402,171760.70788658402,169793.06147025034,165357.09007419518,169793.06147025034
13,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,170480.81153213244,170480.81153213244,169793.06147025034,165357.09007419518,169793.06147025034
14,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,167920.74121128302,167920.74121128302,169793.06147025034,165357.09007419518,169793.06147025034
15,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,167917.11679588933,167917.11679588933,169793.06147025034,165357.09007419518,169793.06147025034
16,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,167211.70163292097,167211.70163292097,169793.06147025034,165357.09007419518,169793.06147025034
17,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,166531.3141979205,166531.3141979205,169793.06147025034,165357.09007419518,169793.06147025034
18,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,166531.3141979205,166531.3141979205,169793.06147025034,163127.5631441803,169793.06147025034
19,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,166531.3141979205,166531.3141979205,169793.06147025034,163127.5631441803,169793.06147025034
20,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,163403.9906802831,163403.9906802831,169793.06147025034,163127.5631441803,169793.06147025034
21,124888.99421523347,121607.4466483899,135400.6602867528,131889.87715159036,163403.9906802831,163403.9906802831,169793.06147025034,160561.136785742,169793.06147025034
