Generation,Heuristic (FCFS),Heuristic (EDD),Heuristic (SPT),Heuristic (LPT),Standard GA,GA-Tabu,FLC-GA,SSO,HFGA-TS
1,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,24223.568525025155,24223.568525025155,24901.809990367998,24313.5549146097,24901.809990367998
2,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,23659.490011794704,23659.490011794704,24156.414108123176,24313.5549146097,24156.414108123176
3,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,22549.001056978806,22549.001056978806,24127.51944923827,23624.529464862368,24127.51944923827
4,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,22549.001056978806,22549.001056978806,24127.51944923827,23624.529464862368,24127.51944923827
5,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,22549.001056978806,22549.001056978806,24127.51944923827,23624.529464862368,24127.51944923827
6,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,22549.001056978806,22549.001056978806,23702.171967434093,23624.529464862368,23702.171967434093
7,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,22327.784358981186,22327.784358981186,23542.73449958852,23624.529464862368,23542.73449958852
8,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,22327.784358981186,22327.784358981186,23542.73449958852,23624.529464862368,23542.73449958852
9,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,22327.784358981186,22327.784358981186,22925.863442138532,23577.538429491986,22925.863442138532
10,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,22327.784358981186,22327.784358981186,22925.863442138532,22875.995000956118,22925.863442138532
11,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21839.989248251983,21839.989248251983,22436.139185846743,22821.128413156475,22436.139185846743
12,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21839.989248251983,21839.989248251983,22436.139185846743,22775.838303938846,22436.139185846743
13,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21839.989248251983,21839.989248251983,22436.139185846743,22775.838303938846,22436.139185846743
14,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21839.989248251983,21839.989248251983,22436.139185846743,22775.838303938846,22436.139185846743
15,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21839.989248251983,21839.989248251983,22436.139185846743,22775.838303938846,22436.139185846743
16,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21839.989248251983,21839.989248251983,22436.139185846743,22775.838303938846,22436.139185846743
