Generation,Heuristic (FCFS),Heuristic (EDD),Heuristic (SPT),Heuristic (LPT),Standard GA,GA-Tabu,FLC-GA,SSO,HFGA-TS
1,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,23793.950162356756,24217.772989667916,24217.772989667916,24351.044568367688,24428.24906150735
2,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,23793.950162356756,22785.686125579927,24217.772989667916,22965.272707322103,23064.63682315172
3,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,23502.362686459695,22785.686125579927,24043.716222017116,22948.552703648373,23064.63682315172
4,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,23156.744028303787,22785.686125579927,23827.724801949615,22349.447300455373,23064.63682315172
5,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,23042.732338742197,22785.686125579927,21321.277116144225,22349.447300455373,23064.63682315172
6,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,23042.732338742197,22785.686125579927,21321.277116144225,22071.0298004082,23064.63682315172
7,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,22752.530825305967,22785.686125579927,21321.277116144225,22071.0298004082,23064.63682315172
8,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21779.770994395993,22785.686125579927,21321.277116144225,22035.76459254587,22667.418093679866
9,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21779.770994395993,22785.686125579927,21321.277116144225,22035.76459254587,22241.444291564687
10,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21779.770994395993,22785.686125579927,21321.277116144225,22035.76459254587,22241.444291564687
11,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21779.770994395993,22774.528532033288,21321.277116144225,21847.95161921962,22241.444291564687
12,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21779.770994395993,22774.528532033288,21321.277116144225,21847.95161921962,22241.444291564687
13,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21779.770994395993,22774.528532033288,21321.277116144225,21847.95161921962,22241.444291564687
14,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21779.770994395993,22774.528532033288,21321.277116144225,21151.927267090497,22241.444291564687
15,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21726.557394035826,22774.528532033288,21321.277116144225,21074.791643921653,22147.020337013964
16,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21726.557394035826,22774.528532033288,21321.277116144225,21074.791643921653,22147.020337013964
17,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21697.6915753177,22353.52116097119,21321.277116144225,21051.87228855136,21677.977676571994
18,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21335.5329843494,22078.194086772408,21321.277116144225,20369.1778355843,21677.977676571994
19,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21335.5329843494,22078.194086772408,21321.277116144225,20369.1778355843,21677.977676571994
20,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21335.5329843494,22059.70452910941,21321.277116144225,20369.1778355843,21677.977676571994
