Generation,Heuristic (FCFS),Heuristic (EDD),SSO,HFGA-TS
1,124888.99421523347,121607.4466483899,181502.48023311028,183803.11573426067
2,124888.99421523347,121607.4466483899,178834.3478559314,181228.5561495999
3,124888.99421523347,121607.4466483899,177416.24582452743,181228.5561495999
4,124888.99421523347,121607.4466483899,177416.24582452743,179792.55526570632
5,124888.99421523347,121607.4466483899,177416.24582452743,179792.55526570632
6,124888.99421523347,121607.4466483899,175879.08315601214,176158.15813829086
7,124888.99421523347,121607.4466483899,170642.88773727053,171988.76888253493
8,124888.99421523347,121607.4466483899,169028.45563457688,169793.06147025034
9,124888.99421523347,121607.4466483899,169028.45563457688,169793.06147025034
10,124888.99421523347,121607.4466483899,165357.09007419518,169793.06147025034
11,124888.99421523347,121607.4466483899,165357.09007419518,169793.06147025034
12,124888.99421523347,121607.4466483899,165357.09007419518,169793.06147025034
13,124888.99421523347,121607.4466483899,165357.09007419518,169793.06147025034
14,124888.99421523347,121607.4466483899,165357.09007419518,169793.06147025034
15,124888.99421523347,121607.4466483899,165357.09007419518,169793.06147025034
16,124888.99421523347,121607.4466483899,165357.09007419518,169793.06147025034
17,124888.99421523347,121607.4466483899,165357.09007419518,169793.06147025034
18,124888.99421523347,121607.4466483899,163127.5631441803,169793.06147025034
19,124888.99421523347,121607.4466483899,163127.5631441803,169793.06147025034
20,124888.99421523347,121607.4466483899,163127.5631441803,169793.06147025034
21,124888.99421523347,121607.4466483899,160561.136785742,169793.06147025034
22,124888.99421523347,121607.4466483899,160561.136785742,169793.06147025034
23,124888.99421523347,121607.4466483899,160561.136785742,169793.06147025034
24,124888.99421523347,121607.4466483899,160561.136785742,169793.06147025034
25,124888.99421523347,121607.4466483899,160561.136785742,169793.06147025034
26,124888.99421523347,121607.4466483899,160561.136785742,169793.06147025034
27,124888.99421523347,121607.4466483899,158197.75344526066,169793.06147025034
28,124888.99421523347,121607.4466483899,158197.75344526066,169793.06147025034
29,124888.99421523347,121607.4466483899,158197.75344526066,169793.06147025034
30,124888.99421523347,121607.4466483899,158197.75344526066,169793.06147025034
31,124888.99421523347,121607.4466483899,158197.75344526066,169793.06147025034
32,124888.99421523347,121607.4466483899,156739.33213203755,167785.43382832283
33,124888.99421523347,121607.4466483899,156739.33213203755,167785.43382832283
34,124888.99421523347,121607.4466483899,156739.33213203755,167785.43382832283
35,124888.99421523347,121607.4466483899,156739.33213203755,167785.43382832283
36,124888.99421523347,121607.4466483899,156739.33213203755,167785.43382832283
37,124888.99421523347,121607.4466483899,156739.33213203755,167785.43382832283
38,124888.99421523347,121607.4466483899,156739.33213203755,165042.9685633126
39,124888.99421523347,121607.4466483899,156739.33213203755,165042.9685633126
40,124888.99421523347,121607.4466483899,156739.33213203755,165042.9685633126
41,124888.99421523347,121607.4466483899,156739.33213203755,165042.9685633126
42,124888.99421523347,121607.4466483899,156739.33213203755,165042.9685633126
43,124888.99421523347,121607.4466483899,156739.33213203755,165042.9685633126
44,124888.99421523347,121607.4466483899,156739.33213203755,165042.9685633126
45,124888.99421523347,121607.4466483899,156739.33213203755,165042.9685633126
46,124888.99421523347,121607.4466483899,156739.33213203755,165042.9685633126
47,124888.99421523347,121607.4466483899,156739.33213203755,165042.9685633126
48,124888.99421523347,121607.4466483899,156739.33213203755,164784.25175201902
49,124888.99421523347,121607.4466483899,156739.33213203755,164784.25175201902
50,124888.99421523347,121607.4466483899,155608.45515758803,164146.2598323685
