Generation,Heuristic (FCFS),Heuristic (EDD),Heuristic (SPT),Heuristic (LPT),Standard GA,GA-Tabu,FLC-GA,SSO,HFGA-TS
1,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,23793.950162356756,23793.950162356756,23793.950162356756,23793.950162356756,23793.950162356756
2,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,23793.950162356756,23793.950162356756,23062.28471962674,23570.040306510604,23062.28471962674
3,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,23502.362686459695,23502.362686459695,23062.28471962674,23570.040306510604,23062.28471962674
4,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,23156.744028303787,23156.744028303787,23062.28471962674,23081.662347079015,23062.28471962674
5,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,23042.732338742197,23042.732338742197,23062.28471962674,23081.662347079015,23062.28471962674
6,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,23042.732338742197,23042.732338742197,23062.28471962674,23081.662347079015,23062.28471962674
7,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,22752.530825305967,22752.530825305967,22540.467441380624,22745.453662732456,22540.467441380624
8,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21779.770994395993,21779.770994395993,22540.467441380624,22745.453662732456,22540.467441380624
9,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21779.770994395993,21779.770994395993,22540.467441380624,22745.453662732456,22540.467441380624
10,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21779.770994395993,21779.770994395993,22540.467441380624,22368.4806539538,22540.467441380624
11,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21779.770994395993,21779.770994395993,22540.467441380624,22040.30305010406,22540.467441380624
12,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21779.770994395993,21779.770994395993,22540.467441380624,22040.30305010406,22540.467441380624
13,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21779.770994395993,21779.770994395993,22540.467441380624,22040.30305010406,22540.467441380624
14,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21779.770994395993,21779.770994395993,22537.591759186365,22040.30305010406,22537.591759186365
15,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21726.557394035826,21726.557394035826,22537.591759186365,22040.30305010406,22537.591759186365
16,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21726.557394035826,21726.557394035826,22537.591759186365,22040.30305010406,22537.591759186365
17,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21697.6915753177,21697.6915753177,22537.591759186365,22028.305601239434,22537.591759186365
18,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21335.5329843494,21335.5329843494,22537.591759186365,21735.359455371814,22537.591759186365
19,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21335.5329843494,21335.5329843494,22154.75819553974,21735.359455371814,22154.75819553974
20,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21335.5329843494,21335.5329843494,22154.75819553974,21735.359455371814,22154.75819553974
21,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,22154.75819553974,21735.359455371814,22154.75819553974
22,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,22154.75819553974,21529.724712097654,22154.75819553974
23,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,22154.75819553974,21529.724712097654,22154.75819553974
24,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,22154.75819553974,21529.724712097654,22154.75819553974
25,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,22154.75819553974,21529.724712097654,22154.75819553974
26,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,21714.36129289637,21529.724712097654,21714.36129289637
27,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,21714.36129289637,21529.724712097654,21714.36129289637
28,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,21714.36129289637,21528.744707996746,21714.36129289637
29,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,21714.36129289637,21528.744707996746,21714.36129289637
30,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,21714.36129289637,21528.744707996746,21714.36129289637
31,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,21714.36129289637,21528.744707996746,21714.36129289637
32,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,21714.36129289637,21148.50505394114,21714.36129289637
33,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,21714.36129289637,21148.50505394114,21714.36129289637
34,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,21714.36129289637,21148.50505394114,21714.36129289637
35,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,21714.36129289637,21148.50505394114,21714.36129289637
36,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,21714.36129289637,21148.50505394114,21714.36129289637
37,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,21714.36129289637,20752.846183534435,21714.36129289637
38,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,21714.36129289637,20661.89588569731,21714.36129289637
39,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,21714.36129289637,20661.89588569731,21714.36129289637
40,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,21256.685641079468,20661.89588569731,21256.685641079468
41,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,21189.559479678734,21189.559479678734,21256.685641079468,20661.89588569731,21256.685641079468
42,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,20992.770827739347,20992.770827739347,21256.685641079468,20661.89588569731,21256.685641079468
43,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,20992.770827739347,20992.770827739347,21256.685641079468,20555.567154788318,21256.685641079468
44,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,20992.770827739347,20992.770827739347,21256.685641079468,20555.567154788318,21256.685641079468
45,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,20992.770827739347,20992.770827739347,21256.685641079468,20555.567154788318,21256.685641079468
46,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,20992.770827739347,20992.770827739347,21256.685641079468,20555.567154788318,21256.685641079468
47,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,20992.770827739347,20992.770827739347,21256.685641079468,20555.567154788318,21256.685641079468
48,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,20992.770827739347,20992.770827739347,21256.685641079468,20226.91915258301,21256.685641079468
49,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,20677.68534360735,20677.68534360735,21256.685641079468,20135.178713833993,21256.685641079468
50,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,20530.141140701107,20530.141140701107,21256.685641079468,20135.178713833993,21256.685641079468
51,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,20530.141140701107,20530.141140701107,21256.685641079468,20135.178713833993,21256.685641079468
52,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,20530.141140701107,20530.141140701107,21256.685641079468,20135.178713833993,21256.685641079468
53,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,20530.141140701107,20530.141140701107,21256.685641079468,20135.178713833993,21256.685641079468
54,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,20496.00028165657,20496.00028165657,21256.685641079468,19932.92102903332,21256.685641079468
55,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,20306.525507084236,20306.525507084236,21256.685641079468,19932.92102903332,21256.685641079468
56,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,20306.525507084236,20306.525507084236,21256.685641079468,19794.80487621413,21256.685641079468
57,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,20306.525507084236,20306.525507084236,21256.685641079468,19794.80487621413,21256.685641079468
58,19290.722814615314,18983.56746695057,16998.093566593197,17515.542383769265,20306.525507084236,20306.525507084236,21256.685641079468,19794.80487621413,21256.685641079468
