Generation,Heuristic (FCFS),Heuristic (EDD),SSO,HFGA-TS
1,19290.722814615314,18983.56746695057,23793.950162356756,23793.950162356756
2,19290.722814615314,18983.56746695057,23793.950162356756,23659.058029936044
3,19290.722814615314,18983.56746695057,22476.326509027458,23255.808967767756
4,19290.722814615314,18983.56746695057,22476.326509027458,23255.808967767756
5,19290.722814615314,18983.56746695057,22476.326509027458,22820.3258800626
6,19290.722814615314,18983.56746695057,22476.326509027458,22820.3258800626
7,19290.722814615314,18983.56746695057,22279.45752348563,22820.3258800626
8,19290.722814615314,18983.56746695057,22279.45752348563,22820.3258800626
9,19290.722814615314,18983.56746695057,22234.955599672077,22363.530032556402
10,19290.722814615314,18983.56746695057,22127.897065447516,22363.530032556402
11,19290.722814615314,18983.56746695057,22127.897065447516,22363.530032556402
12,19290.722814615314,18983.56746695057,22034.947857858377,22363.530032556402
13,19290.722814615314,18983.56746695057,22034.947857858377,22363.530032556402
14,19290.722814615314,18983.56746695057,21832.255695156568,22363.530032556402
15,19290.722814615314,18983.56746695057,21686.695321925894,21817.757256474655
16,19290.722814615314,18983.56746695057,21686.695321925894,21817.757256474655
17,19290.722814615314,18983.56746695057,21569.739395964218,21817.757256474655
18,19290.722814615314,18983.56746695057,21569.739395964218,21817.757256474655
19,19290.722814615314,18983.56746695057,20505.50339444478,21817.757256474655
20,19290.722814615314,18983.56746695057,20505.50339444478,21718.467353966684
21,19290.722814615314,18983.56746695057,20505.50339444478,21718.467353966684
22,19290.722814615314,18983.56746695057,20505.50339444478,21718.467353966684
23,19290.722814615314,18983.56746695057,20505.50339444478,21718.467353966684
24,19290.722814615314,18983.56746695057,20505.50339444478,21718.467353966684
25,19290.722814615314,18983.56746695057,20505.50339444478,21718.467353966684
26,19290.722814615314,18983.56746695057,20505.50339444478,21718.467353966684
27,19290.722814615314,18983.56746695057,20505.50339444478,21718.467353966684
28,19290.722814615314,18983.56746695057,20505.50339444478,21718.467353966684
29,19290.722814615314,18983.56746695057,20187.99387767864,21718.467353966684
30,19290.722814615314,18983.56746695057,20187.99387767864,21718.467353966684
31,19290.722814615314,18983.56746695057,20187.99387767864,21454.733036840524
32,19290.722814615314,18983.56746695057,20187.99387767864,21454.733036840524
33,19290.722814615314,18983.56746695057,20187.99387767864,21454.733036840524
34,19290.722814615314,18983.56746695057,20187.99387767864,21454.733036840524
35,19290.722814615314,18983.56746695057,20187.99387767864,21454.733036840524
36,19290.722814615314,18983.56746695057,20187.99387767864,21454.733036840524
37,19290.722814615314,18983.56746695057,20187.99387767864,21454.733036840524
38,19290.722814615314,18983.56746695057,20187.99387767864,21454.733036840524
39,19290.722814615314,18983.56746695057,20187.99387767864,20911.14817750151
40,19290.722814615314,18983.56746695057,20187.99387767864,20911.14817750151
41,19290.722814615314,18983.56746695057,20187.99387767864,20911.14817750151
42,19290.722814615314,18983.56746695057,19849.75202043946,20911.14817750151
43,19290.722814615314,18983.56746695057,19849.75202043946,20911.14817750151
44,19290.722814615314,18983.56746695057,19849.75202043946,20911.14817750151
45,19290.722814615314,18983.56746695057,19849.75202043946,20911.14817750151
46,19290.722814615314,18983.56746695057,19849.75202043946,20911.14817750151
47,19290.722814615314,18983.56746695057,19849.75202043946,20911.14817750151
48,19290.722814615314,18983.56746695057,19849.75202043946,20911.14817750151
