Generation,Heuristic (FCFS),Heuristic (EDD),SSO,HFGA-TS
1,124888.99421523347,121607.4466483899,187759.98741154134,183803.11573426067
2,124888.99421523347,121607.4466483899,186690.90702514965,181228.5561495999
3,124888.99421523347,121607.4466483899,182453.86915602617,181228.5561495999
4,124888.99421523347,121607.4466483899,175196.73064653648,179792.55526570632
5,124888.99421523347,121607.4466483899,173924.5337598294,179792.55526570632
6,124888.99421523347,121607.4466483899,173660.40346217967,176158.15813829086
7,124888.99421523347,121607.4466483899,169194.30578109692,171988.76888253493
8,124888.99421523347,121607.4466483899,166685.82182383077,169793.06147025034
9,124888.99421523347,121607.4466483899,166685.82182383077,169793.06147025034
10,124888.99421523347,121607.4466483899,166685.82182383077,169793.06147025034
11,124888.99421523347,121607.4466483899,166685.82182383077,169793.06147025034
12,124888.99421523347,121607.4466483899,166685.82182383077,169793.06147025034
13,124888.99421523347,121607.4466483899,164450.75446259748,169793.06147025034
14,124888.99421523347,121607.4466483899,164450.75446259748,169793.06147025034
15,124888.99421523347,121607.4466483899,164450.75446259748,169793.06147025034
16,124888.99421523347,121607.4466483899,164450.75446259748,169793.06147025034
17,124888.99421523347,121607.4466483899,164450.75446259748,169793.06147025034
18,124888.99421523347,121607.4466483899,164450.75446259748,169793.06147025034
19,124888.99421523347,121607.4466483899,164450.75446259748,169793.06147025034
20,124888.99421523347,121607.4466483899,164450.75446259748,169793.06147025034
21,124888.99421523347,121607.4466483899,164450.75446259748,169793.06147025034
22,124888.99421523347,121607.4466483899,164450.75446259748,169793.06147025034
23,124888.99421523347,121607.4466483899,164450.75446259748,169793.06147025034
24,124888.99421523347,121607.4466483899,164450.75446259748,169793.06147025034
25,124888.99421523347,121607.4466483899,164450.75446259748,169793.06147025034
26,124888.99421523347,121607.4466483899,164450.75446259748,169793.06147025034
27,124888.99421523347,121607.4466483899,163471.9613586871,169793.06147025034
28,124888.99421523347,121607.4466483899,162574.9762537466,169793.06147025034
29,124888.99421523347,121607.4466483899,162574.9762537466,169793.06147025034
30,124888.99421523347,121607.4466483899,162574.9762537466,169793.06147025034
31,124888.99421523347,121607.4466483899,161128.88568914245,169793.06147025034
32,124888.99421523347,121607.4466483899,161128.88568914245,167785.43382832283
33,124888.99421523347,121607.4466483899,160347.85048382147,167785.43382832283
34,124888.99421523347,121607.4466483899,160347.85048382147,167785.43382832283
35,124888.99421523347,121607.4466483899,158959.96699639835,167785.43382832283
36,124888.99421523347,121607.4466483899,158959.96699639835,167785.43382832283
37,124888.99421523347,121607.4466483899,158959.96699639835,167785.43382832283
38,124888.99421523347,121607.4466483899,158838.59850457293,165042.9685633126
39,124888.99421523347,121607.4466483899,158653.79247948728,165042.9685633126
40,124888.99421523347,121607.4466483899,158653.79247948728,165042.9685633126
41,124888.99421523347,121607.4466483899,158653.79247948728,165042.9685633126
42,124888.99421523347,121607.4466483899,158540.03594932207,165042.9685633126
43,124888.99421523347,121607.4466483899,158540.03594932207,165042.9685633126
44,124888.99421523347,121607.4466483899,158540.03594932207,165042.9685633126
45,124888.99421523347,121607.4466483899,158540.03594932207,165042.9685633126
46,124888.99421523347,121607.4466483899,158540.03594932207,165042.9685633126
47,124888.99421523347,121607.4466483899,158540.03594932207,165042.9685633126
48,124888.99421523347,121607.4466483899,158540.03594932207,164784.25175201902
49,124888.99421523347,121607.4466483899,158540.03594932207,164784.25175201902
50,124888.99421523347,121607.4466483899,158540.03594932207,164146.2598323685
