Batch_ID,Job_ID,Workstation_ID,Machine_ID,Start_Time,End_Time,Setup_Time,Setup_Cost,Waiting_Time
J6_B16,6,0,0,1302.4623396352454,1580.9346163205885,0.0,0.0,0.0
J6_B16,6,1,0,1590.9346163205885,1667.4917437042898,0.0,0.0,0.0
J6_B16,6,2,0,1677.4917437042898,1839.3145020058337,0.0,0.0,0.0
J6_B16,6,3,0,1849.3145020058337,2061.5346022403683,0.0,0.0,0.0
J6_B16,6,4,0,2071.5346022403683,2347.342806062592,0.0,0.0,0.0
J5_B235,5,0,0,1585.365772133322,1687.5265976616702,4.431155812733614,6.646733719100421,983.8115105696961
J5_B235,5,1,0,1701.8444263276558,1754.0064868226311,4.317828665985739,6.476742998978608,0.0
J5_B235,5,2,2,1764.0064868226311,1887.6237878962554,0.0,0.0,0.0
J5_B235,5,3,0,2075.6862071321957,2223.542760067064,14.151604891827347,21.22740733774102,163.91081434411285
J5_B235,5,4,0,2351.387666543754,2447.0200116119104,4.044860481162315,6.067290721743473,113.80004599552785
J1_B153,1,0,0,1687.850116749454,1837.1060151136812,0.3235190877837617,0.48527863167564256,764.5460205418092
J1_B153,1,1,0,1856.3401425447614,1991.224419891414,9.234127431080275,13.851191146620412,0.0
J1_B153,1,2,0,2017.6779571382936,2197.13684026578,16.453537246879407,24.68030587031911,0.0
J1_B153,1,3,0,2227.3627089906367,2368.6563618716787,3.819948923572631,5.729923385358946,16.4059198012842
J1_B153,1,4,0,2462.9615301677504,2685.885590761423,15.941518555840272,23.912277833760406,68.36364974023172
J5_B140,5,0,0,1837.429534201465,1939.5903597298131,0.3235190877837617,0.48527863167564256,1239.9829093627889
J5_B140,5,1,0,2000.4585473224943,2052.6206078174696,9.234127431080275,13.851191146620412,41.63406016160093
J5_B140,5,2,2,2062.6206078174696,2186.237908891094,0.0,0.0,0.0
J5_B140,5,3,1,2196.237908891094,2344.0944618259623,0.0,0.0,0.0
J5_B140,5,4,1,2354.0944618259623,2449.7268068941185,0.0,0.0,0.0
J4_B220,4,0,1,1052.0075200184265,1147.75512824353,0.0,0.0,0.0
J4_B220,4,1,1,1157.75512824353,1244.160692638419,0.0,0.0,0.0
J4_B220,4,2,1,1254.160692638419,1369.054612898425,0.0,0.0,0.0
J4_B220,4,3,1,2347.914410749535,2437.8057908243327,3.819948923572631,5.729923385358946,965.0398489275374
J4_B220,4,4,1,2465.6683254499585,2568.372193260156,15.941518555840272,23.912277833760406,1.9210160697857646
J5_B314,5,0,0,1939.5903597298131,2041.7511852581613,0.0,0.0,1342.4672539789208
J5_B314,5,1,0,2052.6206078174696,2104.782668312445,0.0,0.0,0.8694225593085321
J5_B314,5,2,2,2186.237908891094,2309.855209964718,0.0,0.0,71.45524057864895
J5_B314,5,3,1,2441.6257397479053,2589.4822926827737,3.819948923572631,5.729923385358946,117.95058085961455
J5_B314,5,4,1,2615.423811238614,2711.05615630677,15.941518555840272,23.912277833760406,0.0
J4_B24,4,0,1,1147.75512824353,1339.250344693737,0.0,0.0,95.74760822510348
J4_B24,4,1,1,1349.250344693737,1522.061473483515,0.0,0.0,0.0
J4_B24,4,2,2,2316.7784391580058,2546.5662796780175,6.923229193287661,10.384843789931491,777.793736481203
J4_B24,4,3,1,2593.3022416063463,2773.0850017559414,3.819948923572631,5.729923385358946,32.91601300475622
J4_B24,4,4,1,2799.0265203117815,3004.4342559321767,15.941518555840272,23.912277833760406,0.0
J6_B187,6,0,1,1343.6815005064705,1482.917638849142,4.431155812733614,6.646733719100421,36.788005058491535
J6_B187,6,1,1,1526.3793021495007,1564.6578658413514,4.317828665985739,6.476742998978608,29.143834634373206
J6_B187,6,2,2,2563.019816924897,2643.931196075669,16.453537246879407,24.68030587031911,971.9084138366661
J6_B187,6,3,1,2787.236606647769,2893.346656765036,14.151604891827347,21.22740733774102,119.1538056802724
J6_B187,6,4,1,3008.479116413339,3146.383218324451,4.044860481162315,6.067290721743473,101.08759916714052
J6_B108,6,0,1,1482.917638849142,1761.389915534485,0.0,0.0,180.45529921389652
J6_B108,6,1,1,1771.389915534485,1847.9470429181863,0.0,0.0,0.0
J6_B108,6,2,2,2643.931196075669,2805.753954377213,0.0,0.0,785.9841531574828
J6_B108,6,3,1,2893.346656765036,3105.5667569995703,0.0,0.0,77.59270238782301
J6_B108,6,4,1,3146.383218324451,3422.1914221466745,0.0,0.0,30.816461324880493
J6_B229,6,0,1,1761.389915534485,1900.6260538771564,0.0,0.0,458.9275758992396
J6_B229,6,1,1,1910.6260538771564,1948.904617569007,0.0,0.0,0.0
J6_B229,6,2,2,2805.753954377213,2886.6653335279852,0.0,0.0,846.8493368082061
J6_B229,6,3,1,3105.5667569995703,3211.6768071168376,0.0,0.0,208.90142347158508
J6_B229,6,4,1,3422.1914221466745,3560.0955240577864,0.0,0.0,200.51461502983693
J4_B159,4,0,1,1905.05720968989,2000.8048179149935,4.431155812733614,6.646733719100421,848.61853385873
J4_B159,4,1,0,2114.016795743525,2200.422360138414,9.234127431080275,13.851191146620412,93.97785039745145
J4_B159,4,2,0,2217.924399344175,2332.818319604181,7.5020392057608305,11.253058808641246,0.0
J4_B159,4,3,0,2373.4018205156085,2463.2932005904063,4.745458643929976,7.118187965894965,25.838042267497713
J4_B159,4,4,0,2686.5608008715426,2789.26466868174,0.6752101101196661,1.0128151651794992,212.59239017101663
J6_B201,6,0,0,2046.1823410708948,2185.4184794135663,4.431155812733614,6.646733719100421,739.2888456229159
J6_B201,6,1,0,2204.7401888044,2243.0187524962507,4.317828665985739,6.476742998978608,5.003880724847932
J6_B201,6,2,0,2349.2718568510604,2430.1832360018325,16.453537246879407,24.68030587031911,79.79956710793022
J6_B201,6,3,0,2477.4448054822337,2583.554855599501,14.151604891827347,21.22740733774102,23.109964588573803
J6_B201,6,4,0,2793.3095291629024,2931.2136310740143,4.044860481162315,6.067290721743473,195.70981308223918
J5_B111,5,0,0,2189.8496352263,2394.1712862829963,4.431155812733614,6.646733719100421,1588.295373662674
J5_B111,5,1,0,2408.489114948982,2512.813235938933,4.317828665985739,6.476742998978608,0.0
J5_B111,5,2,2,2903.1188707748647,3150.3534729221133,16.453537246879407,24.68030587031911,363.8520975890524
J5_B111,5,3,0,3174.5050778139407,3470.2181836836776,14.151604891827347,21.22740733774102,0.0
J5_B111,5,4,0,3484.26304416484,3675.527734301152,4.044860481162315,6.067290721743473,0.0
J1_B157,1,0,0,2394.49480537078,2469.1227545528936,0.3235190877837617,0.48527863167564256,1471.1907091631354
