Generation,Heuristic (FCFS),Heuristic (EDD),Heuristic (SPT),Heuristic (LPT),Standard GA,GA-Tabu,FLC-GA,SSO,HFGA-TS
1,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,28141.46803562954,28141.46803562954,27994.066723746804,28081.262672375015,27994.066723746804
2,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,27686.56727033526,27686.56727033526,27211.01573529546,27927.30967754232,27211.01573529546
3,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,26776.279045544423,26776.279045544423,27211.01573529546,26760.582248553903,27211.01573529546
4,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,26588.477683155972,26588.477683155972,25393.362876221665,25704.495264932404,25393.362876221665
5,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,23904.160043702144,23904.160043702144,25393.362876221665,25704.495264932404,25393.362876221665
6,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,23904.160043702144,23904.160043702144,25393.362876221665,23886.761630043224,25393.362876221665
7,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,23904.160043702144,23904.160043702144,25393.362876221665,23886.761630043224,25393.362876221665
8,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,23658.856981929075,23658.856981929075,25393.362876221665,23886.761630043224,25393.362876221665
9,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22524.985313404526,22524.985313404526,25393.362876221665,23886.761630043224,25393.362876221665
10,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22524.985313404526,22524.985313404526,25393.362876221665,23886.761630043224,25393.362876221665
11,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22524.985313404526,22524.985313404526,25268.04185358283,23886.761630043224,25268.04185358283
12,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22524.985313404526,22524.985313404526,25268.04185358283,22955.510492159556,25268.04185358283
13,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22524.985313404526,22524.985313404526,24894.72056653977,22955.510492159556,24894.72056653977
14,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22524.985313404526,22524.985313404526,24319.490367391423,22955.510492159556,24319.490367391423
15,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22524.985313404526,22524.985313404526,24282.202267426463,22955.510492159556,24282.202267426463
16,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22493.42913082917,22493.42913082917,24282.202267426463,22486.30064819679,24282.202267426463
17,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22493.42913082917,22493.42913082917,24282.202267426463,22486.30064819679,24282.202267426463
18,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22199.18945757138,22199.18945757138,24069.738595584215,21848.711055031643,24069.738595584215
19,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22199.18945757138,22199.18945757138,24069.738595584215,21848.711055031643,24069.738595584215
20,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22199.18945757138,22199.18945757138,23702.263514785343,21848.711055031643,23702.263514785343
21,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22199.18945757138,22199.18945757138,23640.219383714844,21848.711055031643,23640.219383714844
22,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22199.18945757138,22199.18945757138,23640.219383714844,21848.711055031643,23640.219383714844
23,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22199.18945757138,22199.18945757138,23640.219383714844,21715.253743493675,23640.219383714844
